Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like ( F ),Wind Chill ( F ),Barometric Pressure ( INHG ),Accumulated Rain ( IN ),Wind Speed ( MPH ),Wind Average ( MPH ),Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:00,77.2,83.0,71.0,77.0,83.0,77.0,29.98,0.0,3.0,6.0,158.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:05,77.0,83.0,71.0,77.0,84.0,77.0,29.98,0.0,2.0,4.0,135.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:10,77.0,83.0,71.0,77.0,83.0,77.0,29.98,0.0,2.0,2.0,90.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:15,76.8,84.0,71.0,77.0,82.0,77.0,29.98,0.0,5.0,4.0,135.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:20,76.8,84.0,71.0,77.0,83.0,77.0,29.98,0.0,3.0,5.0,225.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:25,76.8,84.0,71.0,77.0,83.0,77.0,29.98,0.0,3.0,4.0,270.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:30,76.8,84.0,71.0,77.0,84.0,77.0,29.98,0.0,2.0,2.0,158.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:35,76.8,85.0,72.0,77.0,83.0,77.0,29.98,0.0,3.0,5.0,113.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:40,76.8,85.0,72.0,77.0,83.0,77.0,29.98,0.0,4.0,5.0,158.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:45,76.8,85.0,72.0,77.0,81.0,77.0,29.98,0.0,8.0,6.0,90.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:50,76.8,85.0,72.0,77.0,84.0,77.0,29.98,0.0,2.0,4.0,135.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 00:55,76.8,86.0,72.0,77.0,81.0,77.0,29.98,0.0,7.0,4.0,158.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 01:00,77.0,86.0,72.0,77.0,83.0,77.0,29.98,0.0,5.0,5.0,225.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 01:05,77.0,86.0,72.0,77.0,83.0,77.0,29.98,0.0,5.0,4.0,158.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 01:10,77.0,86.0,72.0,77.0,84.0,77.0,29.98,0.0,3.0,4.0,158.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 01:15,77.0,87.0,72.0,77.0,84.0,77.0,29.98,0.0,4.0,4.0,68.0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,2022/06/01 01:20,76.8,87.0,72.0,77.0,84.0,77.0,29.98,0.0,4.0,5.0,113.0,,,,,,,,,
