Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like ( F ),Wind Chill ( F ),Barometric Pressure ( INHG ),Accumulated Rain ( IN ),Wind Speed ( MPH ),Wind Average ( MPH ),Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:00,77.9,85,73,80,86,78,29.97,0,4,7,203,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:05,77.7,86,72,80,82,78,29.97,0,6,4,158,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:10,77.7,87,72,80,82,78,29.97,0,6,5,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:15,77.5,88,73,80,83,78,29.98,0,4,7,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:20,77.4,88,73,77,83,77,29.98,0,5,6,90,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:25,77.4,88,73,77,83,77,29.98,0,5,6,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:30,77.2,89,73,77,84,77,29.98,0,4,6,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:35,77.2,89,73,77,83,77,29.98,0,5,7,338,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:40,77.2,89,73,77,81,77,29.98,0,9,4,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:45,77.2,89,73,77,83,77,29.98,0,5,6,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:50,77.2,89,73,77,83,77,29.98,0,5,4,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 00:55,77.2,89,73,77,84,77,29.98,0,4,4,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:00,77.2,89,73,77,82,77,29.99,0,6,5,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:05,77.2,89,73,77,82,77,29.99,0,7,4,248,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:10,77.2,89,73,77,84,77,29.99,0,4,4,135,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:15,77.2,89,73,77,84,77,29.99,0,4,6,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:20,77.2,89,73,77,83,77,29.99,0,5,5,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:25,77.2,89,73,77,83,77,29.99,0,6,6,270,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:30,77.2,90,73,77,84,77,29.99,0,4,4,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:35,77.2,90,73,77,84,77,29.98,0,4,5,203,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:40,77.2,90,73,77,84,77,29.98,0,3,4,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:45,77.2,90,73,77,84,77,29.98,0,3,4,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:50,77.2,90,73,77,85,77,29.98,0,2,4,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 01:55,77.2,90,73,77,83,77,29.98,0,6,6,270,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:00,77.2,90,73,77,84,77,29.98,0,4,4,0,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:05,77.2,90,73,77,85,77,29.98,0,2,4,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:10,77.2,90,73,77,83,77,29.98,0,6,4,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:15,77.2,90,73,77,84,77,29.98,0,3,3,135,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:20,77.2,90,73,77,83,77,29.98,0,5,3,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:25,77.2,90,73,77,84,77,29.98,0,4,5,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:30,77.2,90,73,77,81,77,29.98,0,9,5,293,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:35,77.2,90,73,77,83,77,29.97,0,6,5,90,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:40,77.2,90,73,77,85,77,29.97,0,2,4,203,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:45,77.2,90,73,77,85,77,29.97,0,2,2,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:50,77.2,90,73,77,84,77,29.97,0,4,4,203,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 02:55,77.2,91,74,77,84,77,29.97,0,4,6,23,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:00,77.2,91,74,77,84,77,29.96,0,5,5,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:05,77.2,91,74,77,84,77,29.96,0,5,4,90,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:10,77.2,91,74,77,84,77,29.96,0,5,4,68,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:15,77.2,91,74,77,84,77,29.96,0,4,4,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:20,77.2,91,74,77,84,77,29.96,0,5,6,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:25,77.2,91,74,77,85,77,29.96,0,3,4,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:30,77.2,91,74,77,84,77,29.96,0,4,4,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:35,77.2,91,74,77,84,77,29.97,0,4,4,158,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:40,77.2,91,74,77,85,77,29.97,0,3,4,113,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:45,77.2,91,74,77,85,77,29.97,0,2,4,225,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:50,77.2,92,74,77,84,77,29.97,0,4,4,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 03:55,77.2,92,74,77,85,77,29.97,0,3,4,203,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 04:00,77.2,92,74,77,86,77,29.97,0,2,3,180,,,,,,,,,
5-in-1 Weather Station,AcuRite Iris®,5/10/22 04:05,77.2,92,74,77,85,77,29.97,0,2,4,248,,,,,,,,,
